pair_id,heading_font,body_font,mood,best_for,google_fonts_url,description
inter_space_grotesk,Inter,Space Grotesk,Modern, tech, clean,Tech, SaaS, Dashboard,https://fonts.google.com/share?selection-family=Inter:wght@400;500;600;700&family=Space+Grotesk:wght@400;500;600;700,现代无衬线字体组合，适合科技产品
playfair_display_inter,Playfair Display,Inter,Elegant, readable, professional,Luxury brands, editorial, publishing,https://fonts.google.com/share?selection-family=Playfair+Display:wght@400;600;700&family=Inter:wght@400;500;600,优雅衬线与无衬线组合，适合奢侈品牌
cormorant_montserrat,Cormorant Garamond,Montserrat,Elegant, calming, sophisticated,Luxury, wellness, beauty, editorial,https://fonts.google.com/share?selection-family=Cormorant+Garamond:wght@400;600;700&family=Montserrat:wght@400;500;600,优雅精致字体组合，适合高端品牌
fredoka_nunito,Fredoka,Nunito,Playful, friendly, approachable,Education, children, gaming, lifestyle,https://fonts.google.com/share?selection-family=Fredoka:wght@400;500;600;700&family=Nunito:wght@400;500;600;700,友好圆润字体组合，适合教育儿童
oswald_open_sans,Oswald,Open Sans,Bold, condensed, readable,Marketing, landing pages, headlines,https://fonts.google.com/share?selection-family=Oswald:wght@400;500;600;700&family=Open+Sans:wght@400;500;600,粗壮压缩字体组合，适合营销页面
roboto_slab_roboto,Roboto Slab,Roboto,Professional, trustworthy, reliable,Corporate, enterprise, B2B,https://fonts.google.com/share?selection-family=Roboto+Slab:wght@400;500;600;700&family=Roboto:wght@400;500;600,专业可靠字体组合，适合企业应用
raleway_roboto,Raleway,Roboto,Modern, clean, versatile,Web apps, startups, technology,https://fonts.google.com/share?selection?family=Raleway:wght@400;500;600;700&family=Roboto:wght@400;500;600,现代通用字体组合，适合Web应用
poppins_open_sans,Poppins,Open Sans,Friendly, modern, readable,E-commerce, mobile apps, consumer,https://fonts.google.com/share?selection?family=Poppins:wght@400;500;600;700&family=Open+Sans:wght@400;500;600,友好现代字体组合，适合电商应用
merriweather_lato,Merriweather,Lato,Classic, readable, professional,Editorial, publishing, documentation,https://fonts.google.com/share?selection?family=Merriweather:wght@400;700;900&family=Lato:wght@400;500;600,经典专业字体组合，适合编辑出版
source_serif_source_sans,Source Serif 4,Source Sans 3,Professional, balanced, versatile,Enterprise, documentation, corporate,https://fonts.google.com/share?selection?family=Source+Serif+4:wght@400;600;700&family=Source+Sans+3:wght@400;500;600,专业平衡字体组合，适合企业文档
lora_open_sans,Lora,Open Sans,Elegant, readable, warm,Blog, editorial, lifestyle,https://fonts.google.com/share?selection?family=Lora:wght@400;500;600;700&family=Open+Sans:wght@400;500;600,优雅温暖字体组合，适合博客生活
